"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-14","0.31","0.0","0.0","75"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-15","1.09","0.0","0.0","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-16","0.08","0.0","0.0","69"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-17","0.00","0.0","0.0","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-18","0.00","0.0","0.0","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-19","0.00","0.0","0.0","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-20","0.32","0.0","0.0","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-21","0.51","0.0","0.0","77"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-22","0.00","0.0","0.0","82"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-23","0.02","0.0","0.0","79"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-24","0.00","0.0","0.0","79"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-25","0.00","0.0","0.0","76"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-26","0.00","0.0","0.0","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-27","1.02","0.0","0.0","68"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-28","0.30","0.0","0.0","67"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-29","0.00","0.0","0.0","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-30","0.00","0.0","0.0","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-01","0.26","0.0","0.0","76"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-02","0.03","0.0","0.0","77"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-03","0.00","0.0","0.0","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-04","0.01","0.0","0.0","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-05","0.00","0.0","0.0","74"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-06","0.00","0.0","0.0","75"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-07","0.00","0.0","0.0","78"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-08","0.53","0.0","0.0","80"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-09","0.32","0.0","0.0","75"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-10","0.00","0.0","0.0","77"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-11","0.00","0.0","0.0","78"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-12","0.00","0.0","0.0","78"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-13","0.00","0.0","0.0","77"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-14","0.13","0.0","0.0","76"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-15","0.04","0.0","0.0","77"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-16","0.00","0.0","0.0","73"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-17","0.00","0.0","0.0","72"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-18","0.02","0.0","0.0","76"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-19","0.00","0.0","0.0","80"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-20","0.00","0.0","0.0","85"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-21","0.00","0.0","0.0","84"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-22","0.00","0.0","0.0","80"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-23","0.00","0.0","0.0","79"
